Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),,,
18-Aug-16,8648.85,8690.7,8645.05,8673.25,169431656,7900.6,,136,
19-Aug-16,8694.3,8696.6,8647.1,8666.9,197770568,8354.88,,137,
22-Aug-16,8667,8684.85,8614,8629.15,156976546,7394.57,,138,
23-Aug-16,8628.35,8642.15,8580,8632.6,193302503,7309.82,,139,
24-Aug-16,8648.5,8661.05,8620.9,8650.3,154168043,7199.72,,140,
25-Aug-16,8668.85,8683.05,8583.65,8592.2,219736214,10508.32,,141,
26-Aug-16,8614.35,8622.95,8547.55,8572.55,152146666,7153.37,,142,
29-Aug-16,8583.75,8622,8543.75,8607.45,133723771,6857.99,,143,
30-Aug-16,8646.75,8750.6,8642.25,8744.35,154828719,8392.76,,144,
31-Aug-16,8754.05,8819.2,8754.05,8786.2,373422334,22534.29,,145,
1-Sep-16,8793.6,8813.25,8759.95,8774.65,246336047,9653.93,,146,
2-Sep-16,8796.35,8824.1,8768.2,8809.65,197385217,8231.93,,147,
6-Sep-16,8852.7,8950.85,8848.45,8943,201617132,9571.31,,148,
7-Sep-16,8968.7,8968.7,8913.35,8917.95,299145644,11430.95,,149,
8-Sep-16,8915.5,8960.35,8896,8952.5,223937056,10773.98,,150,
9-Sep-16,8934.3,8939.15,8858.7,8866.7,181344327,9976.28,,151,
12-Sep-16,8732.95,8746.95,8699.4,8715.6,190199613,9248.73,,152,
14-Sep-16,8710.65,8739.85,8688.9,8726.6,189984289,9112.57,,153,
15-Sep-16,8743.85,8751.95,8704.35,8742.55,149889703,7347.34,,154,
16-Sep-16,8780.85,8847.65,8750.5,8779.85,274039556,14430.63,,155,
19-Sep-16,8788.45,8824.3,8774.2,8808.4,135814177,7364.64,,156,
20-Sep-16,8816.1,8816.45,8759.3,8775.9,140718486,7035.07,,157,
21-Sep-16,8790.3,8826.85,8757.3,8777.15,153441330,7572.41,,158,
22-Sep-16,8873.35,8893.35,8837.8,8867.45,178136644,9305.56,,159,
23-Sep-16,8880.75,8885.2,8820.3,8831.55,191618169,9793.98,,160,
26-Sep-16,8807.9,8809.55,8715.1,8723.05,169050086,8518.5,,161,
27-Sep-16,8748.9,8768.5,8690.5,8706.4,156100521,7446.12,,162,
28-Sep-16,8711.2,8767.05,8703.15,8745.15,170643694,8348.19,,163,
29-Sep-16,8792.7,8800.65,8558.25,8591.25,384395249,19467.3,,164,
30-Sep-16,8581.5,8637.15,8555.2,8611.15,187333285,8849.27,,165,
3-Oct-16,8666.15,8745.2,8635,8738.1,141472076,7173.62,,166,
4-Oct-16,8770,8783.65,8736.1,8769.15,189990151,8251.59,,167,
5-Oct-16,8806.35,8806.95,8731.4,8743.95,162103951,6866.33,,168,
6-Oct-16,8768.7,8781.15,8684.65,8709.55,168713605,8114.93,,169,
7-Oct-16,8721.7,8723.7,8663.8,8697.6,155053800,8144.3,,170,
10-Oct-16,8735.35,8745.8,8703.95,8708.8,111794053,5159.83,,171,
13-Oct-16,8671.5,8681.55,8541.35,8573.35,218861324,10581.55,,172,
14-Oct-16,8594,8604.45,8549.8,8583.4,167848947,9613.47,,173,
17-Oct-16,8612.95,8615.4,8506.15,8520.4,203516577,8590.35,,174,
18-Oct-16,8556.05,8685.1,8555.9,8677.9,216626083,9162.11,,175,
19-Oct-16,8697.5,8698.75,8636.7,8659.1,177397872,7790.01,,176,
20-Oct-16,8693.35,8727,8678.3,8699.4,165952091,7120.32,,177,
21-Oct-16,8708.6,8709.1,8652.05,8693.05,162162047,8022.44,,178,
24-Oct-16,8709.85,8736.95,8684.15,8708.95,161966274,6876.28,,179,
25-Oct-16,8721.7,8722.65,8663.45,8691.3,195696479,8718.02,,180,
26-Oct-16,8657.3,8657.3,8596.6,8615.25,226133074,9696.9,,181,
27-Oct-16,8607.1,8624.85,8550.25,8615.25,250336333,12300.53,,182,
28-Oct-16,8625,8653.75,8581.75,8638,180906084,8953.72,,183,
30-Oct-16,8672.35,8678.25,8616.25,8625.7,16610872,805.89,,184,
1-Nov-16,8653.15,8669.6,8614.5,8626.25,170068995,8441.3,,185,
2-Nov-16,8542.8,8549.5,8504.85,8514,160130480,7683.07,,186,
3-Nov-16,8499.85,8537.65,8476.15,8484.95,175773254,7558.06,,187,
4-Nov-16,8503.6,8504,8400.25,8433.75,231783152,11798.48,,188,
7-Nov-16,8535.75,8535.85,8481.45,8497.05,178070534,8436.7,,189,
8-Nov-16,8540,8559.4,8480.1,8543.55,201759648,8515.57,,190,
9-Nov-16,8067.5,8476.2,8002.25,8432,323968654,15536.37,,191,
10-Nov-16,8555.6,8598.45,8510.7,8525.75,271196930,12386.39,,192,
11-Nov-16,8456.65,8460.6,8284.95,8296.3,275221694,12485.11,,193,
15-Nov-16,8284.85,8288.55,8093.2,8108.45,370298063,17387.22,,194,
16-Nov-16,8205.65,8210.05,8089.4,8111.6,277801233,13705.03,,195,
17-Nov-16,8105.1,8151.25,8060.3,8079.95,197183084,8713.06,,196,
18-Nov-16,8097.55,8128.95,8048.3,8074.1,166199545,7901.64,,197,
21-Nov-16,8102.1,8102.45,7916.4,7929.1,225608889,9199.11,,198,
22-Nov-16,7989.15,8019.05,7938.15,8002.3,216677654,9000.44,,199,
23-Nov-16,8051.2,8055.2,7973.1,8033.3,186602328,8681.67,,200,
24-Nov-16,8011.8,8024.85,7952.55,7965.5,268619026,11868.11,,201,
25-Nov-16,8007.95,8122.25,7976.75,8114.3,183355873,8920.79,,202,
28-Nov-16,8080.65,8146.5,8066.5,8126.9,195595287,8666.87,,203,
29-Nov-16,8131.55,8197.35,8128.7,8142.15,195618384,8486.32,,204,
30-Nov-16,8172.15,8234.25,8139.25,8224.5,255725357,14473.78,,205,
1-Dec-16,8244,8250.8,8185.05,8192.9,162597213,7720.96,,206,
2-Dec-16,8153.55,8159.3,8070.05,8086.8,176767415,8050.5,,207,
5-Dec-16,8088.75,8141.9,8056.85,8128.75,130435865,6432.02,,208,
6-Dec-16,8153.15,8178.7,8130.85,8143.15,118854323,5417.56,,209,
7-Dec-16,8168.4,8190.45,8077.5,8102.05,175024334,7900.03,,210,
8-Dec-16,8152.1,8256.25,8151.75,8246.85,146857616,7275.01,,211,
9-Dec-16,8271.7,8274.95,8241.95,8261.75,154344775,6866.81,,212,
12-Dec-16,8230.65,8230.65,8154.45,8170.8,111432551,5026.02,,213,
13-Dec-16,8196.15,8228.85,8155.8,8221.8,189739559,8976.54,,214,
14-Dec-16,8229.35,8229.4,8165.1,8182.45,149132520,6763.63,,215,
15-Dec-16,8128.4,8225.9,8121.95,8153.6,187425988,8579.44,,216,
16-Dec-16,8178.2,8178.7,8127.45,8139.45,209268331,9854.07,,217,
19-Dec-16,8126,8132.5,8094.85,8104.35,110669713,5272.2,,218,
20-Dec-16,8110.6,8124.1,8062.75,8082.4,132026742,6296.67,,219,
21-Dec-16,8105.85,8112.55,8053.25,8061.3,127543733,6304.6,,220,
22-Dec-16,8043.85,8046.45,7964.95,7979.1,126409580,6206.58,,221,
23-Dec-16,7972.5,8022.6,7942.05,7985.75,127921701,5907.28,,222,
26-Dec-16,7965.1,7970.05,7893.8,7908.25,110171222,4808.67,,223,
27-Dec-16,7915.05,8044.65,7903.7,8032.85,122463312,5282.66,,224,
28-Dec-16,8047.55,8100.55,8028.4,8034.85,130580701,5816.34,,225,
29-Dec-16,8030.6,8111.1,8020.8,8103.6,183984077,7635.4,,226,
30-Dec-16,8119.65,8197,8114.75,8185.8,131457250,5800.7,,227,
2-Jan-17,8210.1,8212,8133.8,8179.5,122016111,5255.49,,,1
3-Jan-17,8196.05,8219.1,8148.6,8192.25,131186021,6053.67,,,2
4-Jan-17,8202.65,8218.5,8180.9,8190.5,136476345,6543.13,,,3
5-Jan-17,8226.65,8282.65,8223.7,8273.8,163957452,8180.68,,,4
6-Jan-17,8281.85,8306.85,8233.25,8243.8,143689850,7298.74,,,5
9-Jan-17,8259.35,8263,8227.75,8236.05,102211190,5197.62,,,6
10-Jan-17,8262.7,8293.8,8261,8288.6,147312927,6904.57,,,7
11-Jan-17,8327.8,8389,8322.25,8380.65,192285417,8938.68,,,8
12-Jan-17,8391.05,8417.2,8382.3,8407.2,177948383,7359.24,,,9
13-Jan-17,8457.65,8461.05,8373.15,8400.35,190949616,9156.16,,,10
16-Jan-17,8390.95,8426.7,8374.4,8412.8,127938836,6043.67,,,11
17-Jan-17,8415.05,8440.9,8378.3,8398,125781216,6389.21,,,12
18-Jan-17,8403.85,8460.3,8397.4,8417,168867039,7411.23,,,13
19-Jan-17,8418.4,8445.15,8404.05,8435.1,170956149,7324.14,,,14
20-Jan-17,8404.35,8423.65,8340.95,8349.35,208901233,9014.51,,,15
23-Jan-17,8329.6,8404.15,8327.2,8391.5,200993100,8664.94,,,16
24-Jan-17,8407.05,8480.95,8398.15,8475.8,184745781,8524.17,,,17
25-Jan-17,8499.45,8612.6,8493.95,8602.75,301490150,13901.89,,,18
27-Jan-17,8610.5,8672.7,8606.9,8641.25,283905821,11568.92,,,19
30-Jan-17,8635.55,8662.6,8617.75,8632.75,314110760,9333.49,,,20
31-Jan-17,8629.45,8631.75,8552.4,8561.3,537110119,14721.17,,,21
1-Feb-17,8570.35,8722.4,8537.5,8716.4,337797412,13494.05,,,22
2-Feb-17,8724.75,8757.6,8685.8,8734.25,292329202,11555.02,,,23
3-Feb-17,8735.15,8748.25,8707.75,8740.95,196936238,8193.45,,,24
6-Feb-17,8785.45,8814.1,8770.2,8801.05,200403782,8701.51,,,25
7-Feb-17,8805.7,8809.3,8741.05,8768.3,233294532,9060.63,,,26
8-Feb-17,8774.55,8791.25,8715,8769.05,225485726,9110.24,,,27
9-Feb-17,8795.55,8821.4,8724.1,8778.4,193282248,8972.67,,,28
10-Feb-17,8812.35,8822.1,8771.2,8793.55,232947341,10320.17,,,29
13-Feb-17,8819.8,8826.9,8754.2,8805.05,211180353,8659.48,,,30
14-Feb-17,8819.9,8820.45,8772.5,8792.3,194133563,8494.44,,,31
15-Feb-17,8778.95,8807.9,8712.85,8724.7,222828919,10472.37,,,32
16-Feb-17,8739,8783.95,8719.6,8778,190277738,9695.63,,,33
17-Feb-17,8883.7,8896.45,8804.25,8821.7,307526025,23432.58,,,34
20-Feb-17,8818.55,8886.25,8809.8,8879.2,173022362,7833.53,,,35
21-Feb-17,8890.75,8920.8,8860.95,8907.85,181091326,8863.71,,,36
22-Feb-17,8931.6,8960.75,8905.25,8926.9,254677956,13514.08,,,37
23-Feb-17,8956.4,8982.15,8927.55,8939.5,388874096,17243.08,,,38
27-Feb-17,8943.7,8951.8,8888.65,8896.7,195847099,10388.83,,,39
28-Feb-17,8898.95,8914.75,8867.6,8879.6,302722890,13819.57,,,40
1-Mar-17,8904.4,8960.8,8898.6,8945.8,212328974,9681.99,,,41
2-Mar-17,8982.85,8992.5,8879.8,8899.75,225608140,10075.19,,,42
3-Mar-17,8883.5,8907.1,8860.1,8897.55,208915878,9783.57,,,43
6-Mar-17,8915.1,8967.8,8914,8963.45,180194586,8955.06,,,44
7-Mar-17,8977.75,8977.85,8932.8,8946.9,178827506,8149.28,,,45
8-Mar-17,8950.7,8957.05,8891.95,8924.3,183325544,9489.36,,,46
9-Mar-17,8914.5,8945.8,8899.5,8927,176810453,8493.21,,,47
10-Mar-17,8953.7,8975.7,8903.95,8934.55,157419999,7385.28,,,48
14-Mar-17,9091.65,9122.75,9060.5,9087,278726933,14087.57,,,49
15-Mar-17,9086.85,9106.55,9075.5,9084.8,248033251,9671.51,,,50
16-Mar-17,9129.65,9158.45,9128.55,9153.7,215096446,9275.05,,,51
17-Mar-17,9207.8,9218.4,9147.6,9160.05,295554265,13226.29,,,52
20-Mar-17,9166.95,9167.6,9116.3,9126.85,342395900,9251.16,,,53
21-Mar-17,9133.95,9147.75,9087.2,9121.5,255396073,10191.6,,,54
22-Mar-17,9047.2,9072.9,9019.3,9030.45,239463699,10065.92,,,55
23-Mar-17,9048.75,9099.05,9048.6,9086.3,197705274,8699.36,,,56
24-Mar-17,9104,9133.55,9089.4,9108,210021581,8853.03,,,57
27-Mar-17,9093.45,9094.85,9024.65,9045.2,209036051,8921.57,,,58
28-Mar-17,9081.5,9110.4,9079.8,9100.8,188985603,8139.28,,,59
29-Mar-17,9128.7,9153.15,9109.1,9143.8,250902906,11089.43,,,60
30-Mar-17,9142.6,9183.15,9136.35,9173.75,333410368,15585.42,,,61
31-Mar-17,9158.9,9191.7,9152.1,9173.75,196771674,10955.05,,,62
3-Apr-17,9220.6,9245.35,9192.4,9237.85,143444541,8337.06,,,63
5-Apr-17,9264.4,9273.9,9215.4,9265.15,190529461,11461.96,,,64
6-Apr-17,9245.8,9267.95,9218.85,9261.95,191937207,10332.6,,,65
7-Apr-17,9223.7,9250.5,9188.1,9198.3,195918747,10217.13,,,66
10-Apr-17,9225.6,9225.65,9174.85,9181.45,139968750,8140.08,,,67
11-Apr-17,9184.55,9242.7,9172.85,9237,206261727,9385.2,,,68
12-Apr-17,9242.5,9246.4,9161.8,9203.45,166755013,8412.97,,,69
13-Apr-17,9202.5,9202.65,9144.95,9150.8,171695600,8908.17,,,70
17-Apr-17,9144.75,9160,9120.25,9139.3,132244225,6473.27,,,71
18-Apr-17,9163,9217.9,9095.45,9105.15,179569574,8527.5,,,72
19-Apr-17,9112.2,9120.5,9075.15,9103.5,179117382,8950.27,,,73
20-Apr-17,9108.1,9143.9,9102.65,9136.4,175629897,8843.5,,,74
21-Apr-17,9179.1,9183.65,9088.75,9119.4,159981265,8476.63,,,75
24-Apr-17,9135.35,9225.4,9130.55,9217.95,172908048,9720.75,,,76
